Model,Formula,Effect,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Interpretation
Interaction,Food_consumed ~ Treatment * Sex * days_diet + BATCH + (1 | Cage),Treatment,1.4979809327769573,1.4979809327769573,1,23.231375249404067,0.15201005176352175,0.7001734515238497,No evidence for an overall Treatment effect
Interaction,Food_consumed ~ Treatment * Sex * days_diet + BATCH + (1 | Cage),Sex,23.305290982980168,23.305290982980168,1,23.50889746329665,2.3649423107939085,0.1374404326267206,No evidence for an overall Sex effect in the interaction model
Interaction,Food_consumed ~ Treatment * Sex * days_diet + BATCH + (1 | Cage),days_diet,479.1005451709247,479.1005451709247,1,193.6088625613087,48.61750712430966,4.78072280605115e-11,Food consumption changed significantly over diet duration
Interaction,Food_consumed ~ Treatment * Sex * days_diet + BATCH + (1 | Cage),BATCH,57.38703537980038,57.38703537980038,1,10.943332343434305,5.823442760694595,0.0345262391670702,Significant difference between experimental batches
Interaction,Food_consumed ~ Treatment * Sex * days_diet + BATCH + (1 | Cage),Treatment:Sex,2.8706527597967764,2.8706527597967764,1,23.447088392109716,0.29130415819303207,0.594475297203714,No evidence for a Treatment × Sex interaction
Interaction,Food_consumed ~ Treatment * Sex * days_diet + BATCH + (1 | Cage),Treatment:days_diet,1.9371616318808431,1.9371616318808431,1,193.5697778183016,0.19657662757471173,0.657993543206156,No evidence for a Treatment × days_diet interaction
Interaction,Food_consumed ~ Treatment * Sex * days_diet + BATCH + (1 | Cage),Sex:days_diet,1.0806435382520725,1.0806435382520725,1,193.61540497303437,0.10966006081472048,0.7408896090197635,No evidence for a Sex × days_diet interaction
Interaction,Food_consumed ~ Treatment * Sex * days_diet + BATCH + (1 | Cage),Treatment:Sex:days_diet,0.6377475746708952,0.6377475746708952,1,193.61538462847267,0.06471647249746253,0.7994609155090063,No evidence for a Treatment × Sex × days_diet interaction
Additive,Food_consumed ~ Treatment + Sex + days_diet + BATCH + (1 | Cage),Treatment,0.36263143600640757,0.36263143600640757,1,11.99385646281623,0.03730039047543443,0.8500866558620048,No evidence for a Treatment effect
Additive,Food_consumed ~ Treatment + Sex + days_diet + BATCH + (1 | Cage),Sex,48.63749253312488,48.63749253312488,1,12.009749979192376,5.00286870661574,0.04504632662450783,Food consumption differed significantly between sexes
Additive,Food_consumed ~ Treatment + Sex + days_diet + BATCH + (1 | Cage),days_diet,485.38458721893994,485.38458721893994,1,196.86563111348005,49.92682055756499,2.695991982244859e-11,Food consumption changed significantly over diet duration
Additive,Food_consumed ~ Treatment + Sex + days_diet + BATCH + (1 | Cage),BATCH,63.687858493819604,63.687858493819604,1,11.880811275664684,6.550954369884549,0.02519147297406785,Significant difference between experimental batches
